ID1||plataforma||servidor||base||esquema||tabla||descripcion||data_owner||data_steward||fecha_creacion||num_columnas||columnas_documentadas||avance||clasificacion||fecha_Proceso||estado||used_mb
1||ANALITICA||GYEINTNEGDB01||DN_STAGING||dbo||TB_DEB_NO_APLICA_CHAMP_JA||||jalvarez||||2025-02-11||4||0||0.0||TRB||2025-05-12||P||30.73
1||ANALITICA||GYEINTNEGDB01||DN_STAGING||dbo||PRUEBA_JP||||||||2024-01-22||31||0||0.0||TRB||2025-05-12||P||0.06
1||ANALITICA||GYEINTNEGDB01||PROCESOS_BI||dbo||tmp_patrimonio_nocliente||||||||2024-07-04||19||0||0.0||TMP||2025-05-12||P||10.22
1||ANALITICA||GYEINTNEGDB01||PROCESOS_BI||dbo||CAPTACION_UTIL_NOMINA_2022||||||||2022-02-08||16||0||0.0||TRB||2025-05-12||P||19.64
1||ANALITICA||GYEINTNEGDB01||PROCESOS_BI||dbo||NoPasaPoliticas_MINI||||||||2021-06-14||1||0||0.0||TRB||2025-05-12||P||0.07
1||ANALITICA||GYEINTNEGDB01||DN_STAGING||dbo||TB_AUD_FERXOO_PREM_JA||||||||2024-07-08||4||0||0.0||TRB||2025-05-12||P||6.17
1||ANALITICA||GYEINTNEGDB01||CAMPAÑAS||PRODUCCION||TB_CIUDAD_PROVINCIA_REGION||||||||2023-03-09||5||0||0.0||TRB||2025-05-12||P||0.0
1||ANALITICA||GYEINTNEGDB01||PROCESOS_BI||dbo||ASERTIA||||||||2021-05-02||8||0||0.0||TRB||2025-05-12||P||1.93
1||ANALITICA||GYEINTNEGDB01||DN_STAGING||dbo||Ahorro_22_ago||||||||2024-09-04||24||0||0.0||TRB||2025-05-12||P||575.15
1||ANALITICA||GYEINTNEGDB01||DN_STAGING||dbo||TB_EMPRESAS_CONECTA_ADQ_DES||||||||2024-11-06||25||0||0.0||TRB||2025-05-12||P||0.55
1||ANALITICA||GYEINTNEGDB01||DN_STAGING||Visualizacion||TBR_DROD_COSECHAS_BVP||||||||2023-04-27||14||0||0.0||TRB||2025-05-12||P||0.0
1||ANALITICA||GYEINTNEGDB01||DN_STAGING||Visualizacion||TBL_FECHAS_SALDOS_DN_COL||||||||2023-09-15||1||0||0.0||TRB||2025-05-12||P||0.02
1||ANALITICA||GYEINTNEGDB01||LakeHouse||dbo||BG_TB_heap_hubspotdatabanco||||||||2024-07-19||6||0||0.0||TRB||2025-05-12||P||132.94
1||ANALITICA||GYEINTNEGDB01||CAMPAÑAS||dbo||bf_reglas_2020_2020||||||||2020-10-27||13||0||0.0||TRB||2025-05-12||P||0.17
1||ANALITICA||GYEINTNEGDB01||CONSULTA_EMPRESAS||dbo||PYMES_REQUISITOS||||||||2019-10-10||14||0||0.0||TRB||2025-05-12||P||2.95
1||ANALITICA||GYEINTNEGDB01||CAMPAÑAS||dbo||IDENTIFICACIONES_INVALIDAS||||||||2024-08-14||5||0||0.0||TRB||2025-05-12||P||0.14
1||ANALITICA||GYEINTNEGDB01||ContactabilidadP||dbo||TB_TRABAJO_RESUMEN||||||||2024-07-05||10||1||0.1||TRB||2025-05-12||P||0.0
1||ANALITICA||GYEINTNEGDB01||PROCESOS_BI||dbo||DETALLE_TRANSACCIONNES_ALIVIO_FINANCIERO||||||||2022-06-05||8||0||0.0||TRB||2025-05-12||P||0.76
1||ANALITICA||GYEINTNEGDB01||PROCESOS_BI||dbo||remediacion_202406||||||||2024-06-11||10||0||0.0||TRB||2025-05-12||P||5.03
1||ANALITICA||GYEINTNEGDB01||ContactabilidadP||dbo||TB_REPETIDOS_DIRECCIONES||||||||2024-04-23||19||0||0.0||TRB||2025-05-12||P||0.02
1||ANALITICA||GYEINTNEGDB01||STAGING||dbo||DW_DIM_PARTIDA_EXPORT||||||||2021-10-22||6||0||0.0||TRB||2025-05-12||P||0.25
1||ANALITICA||GYEINTNEGDB01||STAGING||dbo||RESUMEN_PERSONAS_HISTORICO||||||||2021-08-20||31||2||0.064516||TRB||2025-05-12||P||0.01
